Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
Channel O,Western Cape,Male,Coloured,18-24,Monday,Weekday,Late Night,1,1,483,8.05,483,483,483,1,0,0
Africa Magic,Gauteng,Female,Black,35-44,Friday,Weekday,Morning,1,1,11,0.18,11,11,11,0,0,1
Cartoon Network,Gauteng,Male,Black,25-34,Thursday,Weekday,Afternoon,1,1,40,0.67,40,40,40,0,1,0
Africa Magic,Gauteng,Female,Black,45-54,Wednesday,Weekday,Morning,1,1,61,1.02,61,61,61,0,1,0
Trace TV,Free State,Male,White,18-24,Friday,Weekday,Late Night,1,1,180,3,180,180,180,1,0,0
Trace TV,Mpumalanga,Male,Black,25-34,Friday,Weekday,Late Night,1,1,8643,144.05,8643,8643,8643,1,0,0
Boomerang,KwaZulu-Natal,Male,Coloured,55+,Wednesday,Weekday,Prime Time,1,1,9,0.15,9,9,9,0,0,1
Supersport Live Events,Gauteng,Male,Unknown,35-44,Wednesday,Weekday,Prime Time,1,1,5444,90.73,5444,5444,5444,1,0,0
Africa Magic,Gauteng,Male,Coloured,35-44,Tuesday,Weekday,Afternoon,1,1,637,10.62,637,637,637,1,0,0
CNN,KwaZulu-Natal,Male,White,45-54,Thursday,Weekday,Afternoon,1,1,449,7.48,449,449,449,1,0,0
SuperSport Blitz,Western Cape,Male,Unknown,25-34,Sunday,Weekend,Night,1,1,128,2.13,128,128,128,1,0,0
Trace TV,Gauteng,Male,Black,25-34,Tuesday,Weekday,Morning,4,4,2118,35.3,529.5,1533,81,3,1,0
Channel O,Limpopo,Male,Black,18-24,Saturday,Weekend,Morning,1,1,75,1.25,75,75,75,0,1,0
SawSee,Limpopo,Male,Black,18-24,Saturday,Weekend,Late Night,1,1,154,2.57,154,154,154,1,0,0
Vuzu,Western Cape,Male,White,35-44,Sunday,Weekend,Prime Time,1,1,114,1.9,114,114,114,0,1,0
CNN,KwaZulu-Natal,Male,Unknown,35-44,Monday,Weekday,Afternoon,1,1,238,3.97,238,238,238,1,0,0
SawSee,Western Cape,Male,White,35-44,Friday,Weekday,Night,1,1,41,0.68,41,41,41,0,1,0
Africa Magic,Gauteng,Male,Indian_asian,35-44,Monday,Weekday,Late Night,2,1,61,1.02,30.5,35,26,0,1,1
Boomerang,Free State,Male,Black,18-24,Monday,Weekday,Morning,1,1,314,5.23,314,314,314,1,0,0
