Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
Supersport Live Events,Eastern Cape,Male,Coloured,25-34,Tuesday,Weekday,Prime Time,1,1,236,3.93,236,236,236,1,0,0
Trace TV,KwaZulu-Natal,Male,Indian_asian,Under 18,Saturday,Weekend,Afternoon,1,1,33,0.55,33,33,33,0,1,0
Trace TV,Western Cape,Male,Black,18-24,Tuesday,Weekday,Morning,1,1,36,0.6,36,36,36,0,1,0
SuperSport Blitz,North West,Male,Black,35-44,Wednesday,Weekday,Night,1,1,410,6.83,410,410,410,1,0,0
Supersport Live Events,Western Cape,Male,Coloured,Under 18,Wednesday,Weekday,Afternoon,2,1,306,5.1,153,188,118,1,1,0
CNN,Northern Cape,Male,Coloured,25-34,Sunday,Weekend,Afternoon,1,1,59,0.98,59,59,59,0,1,0
Africa Magic,Gauteng,Male,Black,35-44,Thursday,Weekday,Night,1,1,47,0.78,47,47,47,0,1,0
Trace TV,Gauteng,Male,White,25-34,Wednesday,Weekday,Afternoon,2,2,438,7.3,219,417,21,1,0,1
M-Net,KwaZulu-Natal,Male,Black,Under 18,Thursday,Weekday,Morning,1,1,19,0.32,19,19,19,0,0,1
SuperSport Blitz,Gauteng,Male,Indian_asian,18-24,Tuesday,Weekday,Morning,1,1,356,5.93,356,356,356,1,0,0
Trace TV,KwaZulu-Natal,Male,Black,18-24,Wednesday,Weekday,Late Night,1,1,3,0.05,3,3,3,0,0,1
Cartoon Network,Unknown,null,Unknown,55+,Monday,Weekday,Prime Time,1,1,65,1.08,65,65,65,0,1,0
Cartoon Network,Gauteng,Female,Unknown,25-34,Saturday,Weekend,Prime Time,1,1,15,0.25,15,15,15,0,0,1
Trace TV,Mpumalanga,Male,Unknown,25-34,Monday,Weekday,Late Night,1,1,6,0.1,6,6,6,0,0,1
Supersport Live Events,Eastern Cape,Male,White,25-34,Friday,Weekday,Prime Time,2,2,318,5.3,159,284,34,1,1,0
DStv Events 1,Gauteng,Male,Black,25-34,Thursday,Weekday,Morning,1,1,105,1.75,105,105,105,0,1,0
SuperSport Blitz,North West,Male,Black,18-24,Friday,Weekday,Prime Time,1,1,26,0.43,26,26,26,0,0,1
SuperSport Blitz,Western Cape,Male,Unknown,35-44,Sunday,Weekend,Late Night,1,1,416,6.93,416,416,416,1,0,0
SuperSport Blitz,Western Cape,Male,Coloured,35-44,Monday,Weekday,Morning,1,1,1299,21.65,1299,1299,1299,1,0,0
E! Entertainment,Mpumalanga,Male,Indian_asian,25-34,Wednesday,Weekday,Late Night,1,1,28,0.47,28,28,28,0,0,1
Cartoon Network,Gauteng,Male,White,25-34,Friday,Weekday,Afternoon,2,2,84,1.4,42,74,10,0,1,1
SuperSport Blitz,Eastern Cape,Female,White,45-54,Friday,Weekday,Late Night,1,1,201,3.35,201,201,201,1,0,0
SuperSport Blitz,Gauteng,Male,Indian_asian,Under 18,Sunday,Weekend,Prime Time,1,1,534,8.9,534,534,534,1,0,0
SuperSport Blitz,Gauteng,Male,White,35-44,Thursday,Weekday,Prime Time,1,1,20,0.33,20,20,20,0,0,1
Boomerang,Eastern Cape,Male,Black,45-54,Saturday,Weekend,Morning,1,1,12,0.2,12,12,12,0,0,1
Vuzu,Gauteng,Male,White,35-44,Saturday,Weekend,Afternoon,2,2,92,1.53,46,83,9,0,1,1
CNN,Gauteng,Male,Black,35-44,Monday,Weekday,Afternoon,2,2,1539,25.65,769.5,799,740,2,0,0
Cartoon Network,Gauteng,Male,Coloured,18-24,Tuesday,Weekday,Prime Time,1,1,83,1.38,83,83,83,0,1,0
ICC Cricket World Cup 2011,Free State,Male,Black,18-24,Wednesday,Weekday,Afternoon,1,1,4600,76.67,4600,4600,4600,1,0,0
DStv Events 1,Unknown,null,Unknown,55+,Wednesday,Weekday,Morning,1,1,85,1.42,85,85,85,0,1,0
Africa Magic,KwaZulu-Natal,Male,Indian_asian,45-54,Wednesday,Weekday,Morning,1,1,44,0.73,44,44,44,0,1,0
Channel O,Gauteng,Male,Black,18-24,Monday,Weekday,Afternoon,1,1,99,1.65,99,99,99,0,1,0
SuperSport Blitz,Western Cape,Male,Black,35-44,Wednesday,Weekday,Afternoon,1,1,80,1.33,80,80,80,0,1,0
Cartoon Network,Limpopo,Male,Black,18-24,Saturday,Weekend,Prime Time,1,1,203,3.38,203,203,203,1,0,0
ICC Cricket World Cup 2011,Mpumalanga,Male,Unknown,25-34,Tuesday,Weekday,Prime Time,1,1,4748,79.13,4748,4748,4748,1,0,0
kykNET,Free State,Male,White,45-54,Sunday,Weekend,Night,1,1,315,5.25,315,315,315,1,0,0
Channel O,Free State,Male,Black,25-34,Monday,Weekday,Late Night,1,1,177,2.95,177,177,177,1,0,0
Trace TV,Western Cape,Male,Coloured,25-34,Tuesday,Weekday,Late Night,1,1,24,0.4,24,24,24,0,0,1
Supersport Live Events,North West,Male,Black,35-44,Sunday,Weekend,Prime Time,1,1,256,4.27,256,256,256,1,0,0
Cartoon Network,KwaZulu-Natal,Male,Black,35-44,Saturday,Weekend,Morning,1,1,112,1.87,112,112,112,0,1,0
SuperSport Blitz,KwaZulu-Natal,Male,White,25-34,Friday,Weekday,Prime Time,1,1,24,0.4,24,24,24,0,0,1
ICC Cricket World Cup 2011,Limpopo,Male,Black,35-44,Saturday,Weekend,Afternoon,1,1,1006,16.77,1006,1006,1006,1,0,0
SawSee,North West,Male,Black,25-34,Sunday,Weekend,Morning,1,1,14,0.23,14,14,14,0,0,1
Supersport Live Events,Mpumalanga,Male,Black,18-24,Tuesday,Weekday,Late Night,2,2,172,2.87,86,132,40,1,1,0
SawSee,Gauteng,Male,Black,25-34,Thursday,Weekday,Prime Time,1,1,365,6.08,365,365,365,1,0,0
CNN,Free State,Male,Black,45-54,Thursday,Weekday,Morning,1,1,1335,22.25,1335,1335,1335,1,0,0
Cartoon Network,Gauteng,Male,Coloured,35-44,Thursday,Weekday,Afternoon,1,1,278,4.63,278,278,278,1,0,0
Cartoon Network,Western Cape,Male,White,Under 18,Saturday,Weekend,Morning,1,1,44,0.73,44,44,44,0,1,0
SawSee,Unknown,null,Unknown,55+,Monday,Weekday,Late Night,1,1,65,1.08,65,65,65,0,1,0
Trace TV,Western Cape,Male,Unknown,18-24,Wednesday,Weekday,Late Night,1,1,39,0.65,39,39,39,0,1,0
ICC Cricket World Cup 2011,Gauteng,Male,White,25-34,Friday,Weekday,Afternoon,4,3,1076,17.93,269,794,62,2,2,0
SawSee,Western Cape,Male,Unknown,35-44,Wednesday,Weekday,Afternoon,1,1,10,0.17,10,10,10,0,0,1
ICC Cricket World Cup 2011,Western Cape,Female,Black,35-44,Sunday,Weekend,Afternoon,1,1,54,0.9,54,54,54,0,1,0
CNN,Gauteng,Female,Black,25-34,Thursday,Weekday,Night,1,1,151,2.52,151,151,151,1,0,0
Channel O,Gauteng,Male,Black,35-44,Wednesday,Weekday,Morning,1,1,786,13.1,786,786,786,1,0,0
SawSee,Gauteng,Male,Black,45-54,Friday,Weekday,Afternoon,1,1,104,1.73,104,104,104,0,1,0
Channel O,KwaZulu-Natal,Male,Black,25-34,Wednesday,Weekday,Night,2,2,351,5.85,175.5,183,168,2,0,0
Cartoon Network,Eastern Cape,Female,Black,Under 18,Monday,Weekday,Prime Time,1,1,33,0.55,33,33,33,0,1,0
Boomerang,Gauteng,Male,White,25-34,Saturday,Weekend,Afternoon,1,1,2688,44.8,2688,2688,2688,1,0,0
E! Entertainment,Gauteng,Male,Coloured,35-44,Tuesday,Weekday,Late Night,1,1,34,0.57,34,34,34,0,1,0
Trace TV,North West,Male,Black,35-44,Tuesday,Weekday,Afternoon,1,1,75,1.25,75,75,75,0,1,0
Trace TV,Limpopo,Male,Black,35-44,Thursday,Weekday,Afternoon,1,1,2607,43.45,2607,2607,2607,1,0,0
Cartoon Network,KwaZulu-Natal,Female,Black,35-44,Monday,Weekday,Morning,1,1,72,1.2,72,72,72,0,1,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Indian_asian,35-44,Wednesday,Weekday,Prime Time,1,1,128,2.13,128,128,128,1,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Unknown,Under 18,Wednesday,Weekday,Prime Time,1,1,636,10.6,636,636,636,1,0,0
Africa Magic,Gauteng,Female,Black,25-34,Saturday,Weekend,Prime Time,1,1,475,7.92,475,475,475,1,0,0
Africa Magic,Limpopo,Male,Black,Under 18,Tuesday,Weekday,Prime Time,1,1,734,12.23,734,734,734,1,0,0
Boomerang,Gauteng,Male,Black,18-24,Tuesday,Weekday,Morning,1,1,887,14.78,887,887,887,1,0,0
Cartoon Network,Limpopo,Female,Black,45-54,Monday,Weekday,Prime Time,1,1,12,0.2,12,12,12,0,0,1
Boomerang,Mpumalanga,Male,Black,18-24,Saturday,Weekend,Morning,1,1,8,0.13,8,8,8,0,0,1
Vuzu,Limpopo,Male,Indian_asian,18-24,Wednesday,Weekday,Afternoon,1,1,16,0.27,16,16,16,0,0,1
Trace TV,Limpopo,Female,Black,18-24,Sunday,Weekend,Morning,1,1,105,1.75,105,105,105,0,1,0
ICC Cricket World Cup 2011,Western Cape,Male,White,35-44,Saturday,Weekend,Afternoon,1,1,142,2.37,142,142,142,1,0,0
SawSee,KwaZulu-Natal,Male,Black,35-44,Tuesday,Weekday,Night,2,2,137,2.28,68.5,120,17,0,1,1
Boomerang,North West,Female,Black,18-24,Friday,Weekday,Afternoon,1,1,53,0.88,53,53,53,0,1,0
Trace TV,Eastern Cape,Male,Coloured,25-34,Thursday,Weekday,Afternoon,1,1,201,3.35,201,201,201,1,0,0
Trace TV,Unknown,null,Unknown,55+,Monday,Weekday,Late Night,1,1,78,1.3,78,78,78,0,1,0
SuperSport Blitz,KwaZulu-Natal,Male,Indian_asian,35-44,Thursday,Weekday,Afternoon,1,1,51,0.85,51,51,51,0,1,0
Cartoon Network,Eastern Cape,Male,Coloured,25-34,Tuesday,Weekday,Afternoon,1,1,68,1.13,68,68,68,0,1,0
Supersport Live Events,Mpumalanga,Male,White,18-24,Friday,Weekday,Afternoon,1,1,130,2.17,130,130,130,1,0,0
Africa Magic,Free State,Male,Coloured,25-34,Saturday,Weekend,Night,1,1,19,0.32,19,19,19,0,0,1
M-Net,Unknown,null,Unknown,55+,Saturday,Weekend,Afternoon,1,1,190,3.17,190,190,190,1,0,0
Boomerang,Mpumalanga,Male,Black,45-54,Friday,Weekday,Prime Time,1,1,73,1.22,73,73,73,0,1,0
ICC Cricket World Cup 2011,Gauteng,Male,Coloured,25-34,Wednesday,Weekday,Prime Time,1,1,2094,34.9,2094,2094,2094,1,0,0
Trace TV,Northern Cape,Female,Coloured,18-24,Friday,Weekday,Prime Time,1,1,867,14.45,867,867,867,1,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Black,45-54,Thursday,Weekday,Morning,1,1,908,15.13,908,908,908,1,0,0
Boomerang,Gauteng,Male,Indian_asian,18-24,Wednesday,Weekday,Morning,1,1,1072,17.87,1072,1072,1072,1,0,0
ICC Cricket World Cup 2011,Western Cape,Male,Unknown,18-24,Thursday,Weekday,Morning,1,1,1966,32.77,1966,1966,1966,1,0,0
Supersport Live Events,Free State,Male,Indian_asian,45-54,Thursday,Weekday,Afternoon,1,1,4634,77.23,4634,4634,4634,1,0,0
CNN,Gauteng,Male,Indian_asian,25-34,Wednesday,Weekday,Night,1,1,19,0.32,19,19,19,0,0,1
Boomerang,Free State,Male,White,25-34,Tuesday,Weekday,Late Night,1,1,960,16,960,960,960,1,0,0
CNN,Western Cape,Male,Black,35-44,Sunday,Weekend,Afternoon,1,1,42,0.7,42,42,42,0,1,0
Cartoon Network,Gauteng,Male,Unknown,18-24,Sunday,Weekend,Late Night,1,1,186,3.1,186,186,186,1,0,0
Vuzu,Western Cape,Male,Black,25-34,Friday,Weekday,Prime Time,1,1,35,0.58,35,35,35,0,1,0
SawSee,Western Cape,Male,Coloured,35-44,Sunday,Weekend,Prime Time,1,1,13,0.22,13,13,13,0,0,1
M-Net,Northern Cape,Male,Coloured,35-44,Friday,Weekday,Afternoon,1,1,13,0.22,13,13,13,0,0,1
DStv Events 1,Gauteng,Male,Indian_asian,35-44,Saturday,Weekend,Prime Time,1,1,145,2.42,145,145,145,1,0,0
Supersport Live Events,Eastern Cape,Male,Black,18-24,Saturday,Weekend,Afternoon,1,1,598,9.97,598,598,598,1,0,0
Channel O,Gauteng,Male,Black,35-44,Monday,Weekday,Morning,2,2,1683,28.05,841.5,1371,312,2,0,0
SuperSport Blitz,Gauteng,Male,White,45-54,Thursday,Weekday,Late Night,1,1,96,1.6,96,96,96,0,1,0
SawSee,Western Cape,Male,Unknown,35-44,Sunday,Weekend,Night,1,1,133,2.22,133,133,133,1,0,0
SuperSport Blitz,Limpopo,Male,White,Under 18,Saturday,Weekend,Night,1,1,66,1.1,66,66,66,0,1,0
Trace TV,Western Cape,Male,Black,25-34,Wednesday,Weekday,Prime Time,1,1,78,1.3,78,78,78,0,1,0
Channel O,Eastern Cape,Female,Coloured,25-34,Wednesday,Weekday,Afternoon,1,1,120,2,120,120,120,0,1,0
E! Entertainment,Gauteng,Male,Black,25-34,Sunday,Weekend,Prime Time,1,1,10,0.17,10,10,10,0,0,1
Channel O,Limpopo,Male,Black,35-44,Friday,Weekday,Morning,1,1,9,0.15,9,9,9,0,0,1
Supersport Live Events,Western Cape,Male,White,35-44,Thursday,Weekday,Night,1,1,416,6.93,416,416,416,1,0,0
Channel O,Northern Cape,Male,Unknown,35-44,Thursday,Weekday,Afternoon,1,1,1041,17.35,1041,1041,1041,1,0,0
Channel O,KwaZulu-Natal,Male,Indian_asian,25-34,Saturday,Weekend,Night,1,1,96,1.6,96,96,96,0,1,0
Channel O,Limpopo,Female,Black,18-24,Friday,Weekday,Afternoon,1,1,300,5,300,300,300,1,0,0
Cartoon Network,KwaZulu-Natal,Male,Black,25-34,Sunday,Weekend,Afternoon,1,1,640,10.67,640,640,640,1,0,0
Africa Magic,Limpopo,Male,Black,35-44,Wednesday,Weekday,Morning,1,1,508,8.47,508,508,508,1,0,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Indian_asian,Under 18,Sunday,Weekend,Afternoon,1,1,354,5.9,354,354,354,1,0,0
Boomerang,Gauteng,Male,Coloured,25-34,Tuesday,Weekday,Prime Time,1,1,627,10.45,627,627,627,1,0,0
Supersport Live Events,Gauteng,Male,Indian_asian,18-24,Sunday,Weekend,Prime Time,1,1,16,0.27,16,16,16,0,0,1
Boomerang,Eastern Cape,Male,Coloured,25-34,Friday,Weekday,Late Night,1,1,9,0.15,9,9,9,0,0,1
Africa Magic,Limpopo,Male,Unknown,25-34,Saturday,Weekend,Prime Time,1,1,1,0.02,1,1,1,0,0,1
Channel O,Gauteng,Male,Coloured,25-34,Saturday,Weekend,Late Night,1,1,27,0.45,27,27,27,0,0,1
CNN,KwaZulu-Natal,Male,Black,25-34,Saturday,Weekend,Afternoon,1,1,41,0.68,41,41,41,0,1,0
Cartoon Network,Limpopo,Male,Black,55+,Monday,Weekday,Late Night,1,1,93,1.55,93,93,93,0,1,0
Cartoon Network,Gauteng,Female,Indian_asian,18-24,Friday,Weekday,Afternoon,1,1,207,3.45,207,207,207,1,0,0
SuperSport Blitz,Limpopo,Male,Black,25-34,Tuesday,Weekday,Morning,1,1,156,2.6,156,156,156,1,0,0
Africa Magic,Gauteng,Male,Coloured,25-34,Saturday,Weekend,Night,1,1,81,1.35,81,81,81,0,1,0
Cartoon Network,Western Cape,Male,Unknown,25-34,Saturday,Weekend,Night,1,1,281,4.68,281,281,281,1,0,0
Cartoon Network,Gauteng,Male,White,35-44,Friday,Weekday,Prime Time,2,2,2812,46.87,1406,2123,689,2,0,0
ICC Cricket World Cup 2011,Gauteng,Male,White,25-34,Friday,Weekday,Prime Time,1,1,652,10.87,652,652,652,1,0,0
SuperSport Blitz,Western Cape,Male,Coloured,45-54,Tuesday,Weekday,Afternoon,1,1,22,0.37,22,22,22,0,0,1
CNN,Northern Cape,Male,Coloured,Under 18,Sunday,Weekend,Prime Time,1,1,33,0.55,33,33,33,0,1,0
Trace TV,Western Cape,Male,Black,Under 18,Thursday,Weekday,Night,1,1,495,8.25,495,495,495,1,0,0
DStv Events 1,Gauteng,Female,Black,25-34,Wednesday,Weekday,Night,1,1,80,1.33,80,80,80,0,1,0
Channel O,Western Cape,Female,Black,25-34,Monday,Weekday,Prime Time,1,1,6672,111.2,6672,6672,6672,1,0,0
SuperSport Blitz,Limpopo,Male,Indian_asian,25-34,Wednesday,Weekday,Afternoon,2,2,142,2.37,71,92,50,0,2,0
Vuzu,Gauteng,Male,Black,18-24,Thursday,Weekday,Prime Time,1,1,178,2.97,178,178,178,1,0,0
SawSee,Eastern Cape,Male,Indian_asian,25-34,Sunday,Weekend,Late Night,1,1,124,2.07,124,124,124,1,0,0
SuperSport Blitz,Eastern Cape,Male,Black,35-44,Sunday,Weekend,Afternoon,1,1,96,1.6,96,96,96,0,1,0
Supersport Live Events,KwaZulu-Natal,Male,Unknown,35-44,Saturday,Weekend,Afternoon,1,1,42,0.7,42,42,42,0,1,0
E! Entertainment,Eastern Cape,Male,White,18-24,Thursday,Weekday,Night,1,1,40,0.67,40,40,40,0,1,0
Trace TV,Gauteng,Male,Indian_asian,25-34,Sunday,Weekend,Afternoon,1,1,60,1,60,60,60,0,1,0
Trace TV,Eastern Cape,Female,Coloured,25-34,Saturday,Weekend,Morning,1,1,159,2.65,159,159,159,1,0,0
Supersport Live Events,KwaZulu-Natal,Male,Indian_asian,35-44,Monday,Weekday,Afternoon,1,1,956,15.93,956,956,956,1,0,0
Africa Magic,KwaZulu-Natal,Male,Black,35-44,Friday,Weekday,Night,1,1,104,1.73,104,104,104,0,1,0
Supersport Live Events,Gauteng,Male,Indian_asian,35-44,Wednesday,Weekday,Prime Time,1,1,4,0.07,4,4,4,0,0,1
Channel O,Eastern Cape,Male,Black,25-34,Tuesday,Weekday,Morning,1,1,759,12.65,759,759,759,1,0,0
E! Entertainment,Mpumalanga,Male,Black,25-34,Saturday,Weekend,Prime Time,1,1,184,3.07,184,184,184,1,0,0
SawSee,Unknown,null,Unknown,55+,Sunday,Weekend,Afternoon,1,1,5,0.08,5,5,5,0,0,1
Supersport Live Events,Gauteng,Male,Indian_asian,25-34,Sunday,Weekend,Prime Time,1,1,36,0.6,36,36,36,0,1,0
ICC Cricket World Cup 2011,KwaZulu-Natal,Male,Coloured,25-34,Sunday,Weekend,Prime Time,1,1,802,13.37,802,802,802,1,0,0
Boomerang,KwaZulu-Natal,Male,Black,25-34,Monday,Weekday,Afternoon,1,1,43,0.72,43,43,43,0,1,0
SuperSport Blitz,Mpumalanga,Male,Indian_asian,25-34,Wednesday,Weekday,Afternoon,1,1,362,6.03,362,362,362,1,0,0
Supersport Live Events,Mpumalanga,Male,Black,35-44,Sunday,Weekend,Night,1,1,124,2.07,124,124,124,1,0,0
Supersport Live Events,Gauteng,Male,Black,25-34,Thursday,Weekday,Night,1,1,270,4.5,270,270,270,1,0,0
SuperSport Blitz,Mpumalanga,Male,Black,25-34,Wednesday,Weekday,Morning,1,1,470,7.83,470,470,470,1,0,0
Cartoon Network,Mpumalanga,Male,Black,18-24,Friday,Weekday,Afternoon,1,1,80,1.33,80,80,80,0,1,0
Cartoon Network,Gauteng,Female,Indian_asian,18-24,Thursday,Weekday,Night,1,1,1184,19.73,1184,1184,1184,1,0,0
Boomerang,KwaZulu-Natal,Male,Indian_asian,45-54,Friday,Weekday,Afternoon,1,1,556,9.27,556,556,556,1,0,0
ICC Cricket World Cup 2011,Limpopo,Male,Unknown,45-54,Friday,Weekday,Afternoon,1,1,280,4.67,280,280,280,1,0,0
Boomerang,Limpopo,Male,Indian_asian,25-34,Thursday,Weekday,Morning,1,1,4,0.07,4,4,4,0,0,1
SuperSport Blitz,Gauteng,Male,Unknown,35-44,Friday,Weekday,Night,1,1,100,1.67,100,100,100,0,1,0
Channel O,Gauteng,Male,Black,35-44,Sunday,Weekend,Afternoon,1,1,210,3.5,210,210,210,1,0,0
DStv Events 1,Eastern Cape,Male,Coloured,45-54,Friday,Weekday,Afternoon,1,1,20,0.33,20,20,20,0,0,1
DStv Events 1,Gauteng,Male,Black,18-24,Sunday,Weekend,Afternoon,1,1,65,1.08,65,65,65,0,1,0
SuperSport Blitz,Free State,Male,Black,18-24,Thursday,Weekday,Morning,1,1,680,11.33,680,680,680,1,0,0
SuperSport Blitz,Limpopo,Male,Black,18-24,Saturday,Weekend,Night,1,1,68,1.13,68,68,68,0,1,0
Boomerang,Eastern Cape,Male,White,45-54,Friday,Weekday,Morning,1,1,873,14.55,873,873,873,1,0,0
Trace TV,Western Cape,Male,Coloured,18-24,Monday,Weekday,Morning,1,1,1413,23.55,1413,1413,1413,1,0,0
E! Entertainment,Gauteng,Male,Black,25-34,Monday,Weekday,Late Night,1,1,116,1.93,116,116,116,0,1,0
Trace TV,Gauteng,Male,Black,18-24,Thursday,Weekday,Prime Time,2,2,2124,35.4,1062,1965,159,2,0,0
Channel O,North West,Male,Black,35-44,Monday,Weekday,Night,1,1,12,0.2,12,12,12,0,0,1
Cartoon Network,Gauteng,Male,Black,45-54,Thursday,Weekday,Afternoon,2,2,79,1.32,39.5,48,31,0,2,0
Boomerang,Mpumalanga,Male,Black,35-44,Friday,Weekday,Prime Time,3,3,64,1.07,21.33,43,2,0,1,2
Boomerang,Western Cape,Female,Coloured,45-54,Sunday,Weekend,Late Night,1,1,204,3.4,204,204,204,1,0,0
Boomerang,Gauteng,Female,Black,25-34,Friday,Weekday,Late Night,1,1,831,13.85,831,831,831,1,0,0
Trace TV,KwaZulu-Natal,Male,Unknown,18-24,Sunday,Weekend,Late Night,1,1,363,6.05,363,363,363,1,0,0
ICC Cricket World Cup 2011,Gauteng,Male,Indian_asian,35-44,Sunday,Weekend,Prime Time,4,4,11134,185.57,2783.5,5064,8,3,0,1
Cartoon Network,Gauteng,Male,Black,25-34,Wednesday,Weekday,Afternoon,6,6,710,11.83,118.33,425,9,2,1,3
Channel O,Gauteng,Male,Black,25-34,Sunday,Weekend,Late Night,3,3,1428,23.8,476,750,309,3,0,0
CNN,Western Cape,Male,Black,35-44,Sunday,Weekend,Night,1,1,30,0.5,30,30,30,0,1,0
Boomerang,Gauteng,Female,Unknown,25-34,Sunday,Weekend,Afternoon,1,1,21,0.35,21,21,21,0,0,1
Cartoon Network,Gauteng,Female,Unknown,25-34,Monday,Weekday,Afternoon,2,1,89,1.48,44.5,57,32,0,2,0
Channel O,Eastern Cape,Female,Black,Under 18,Monday,Weekday,Morning,1,1,261,4.35,261,261,261,1,0,0
Cartoon Network,North West,Male,Black,45-54,Saturday,Weekend,Late Night,1,1,75,1.25,75,75,75,0,1,0
CNN,KwaZulu-Natal,Male,White,45-54,Sunday,Weekend,Afternoon,1,1,1606,26.77,1606,1606,1606,1,0,0
Cartoon Network,Western Cape,Male,Coloured,35-44,Sunday,Weekend,Morning,1,1,1458,24.3,1458,1458,1458,1,0,0
Cartoon Network,Eastern Cape,Male,Black,18-24,Sunday,Weekend,Late Night,1,1,919,15.32,919,919,919,1,0,0
Boomerang,Western Cape,Male,Other,45-54,Tuesday,Weekday,Afternoon,1,1,858,14.3,858,858,858,1,0,0
MK,Gauteng,Male,Indian_asian,35-44,Monday,Weekday,Late Night,1,1,27,0.45,27,27,27,0,0,1
Cartoon Network,KwaZulu-Natal,Female,Coloured,35-44,Friday,Weekday,Afternoon,1,1,1245,20.75,1245,1245,1245,1,0,0
SuperSport Blitz,Western Cape,Male,Coloured,18-24,Thursday,Weekday,Late Night,1,1,28,0.47,28,28,28,0,0,1
Channel O,Eastern Cape,Male,Black,25-34,Saturday,Weekend,Late Night,3,2,1854,30.9,618,1818,18,1,0,2
E! Entertainment,Gauteng,Male,Black,Under 18,Saturday,Weekend,Afternoon,1,1,108,1.8,108,108,108,0,1,0
Cartoon Network,Limpopo,Male,Black,25-34,Thursday,Weekday,Prime Time,1,1,161,2.68,161,161,161,1,0,0
SuperSport Blitz,Gauteng,Male,Indian_asian,25-34,Friday,Weekday,Morning,1,1,66,1.1,66,66,66,0,1,0
SuperSport Blitz,Gauteng,Male,Indian_asian,25-34,Wednesday,Weekday,Afternoon,3,3,2118,35.3,706,1940,70,1,2,0
Supersport Live Events,Mpumalanga,Male,White,18-24,Friday,Weekday,Prime Time,1,1,1736,28.93,1736,1736,1736,1,0,0
E! Entertainment,Limpopo,Male,Black,25-34,Sunday,Weekend,Late Night,1,1,54,0.9,54,54,54,0,1,0
Supersport Live Events,Mpumalanga,Male,White,45-54,Friday,Weekday,Afternoon,2,2,214,3.57,107,182,32,1,1,0
CNN,Western Cape,Male,Coloured,35-44,Thursday,Weekday,Prime Time,1,1,2462,41.03,2462,2462,2462,1,0,0
Channel O,Northern Cape,Male,Black,25-34,Friday,Weekday,Late Night,1,1,72,1.2,72,72,72,0,1,0
CNN,KwaZulu-Natal,Male,Unknown,55+,Monday,Weekday,Afternoon,1,1,582,9.7,582,582,582,1,0,0
Boomerang,Gauteng,Female,Black,35-44,Wednesday,Weekday,Prime Time,1,1,14,0.23,14,14,14,0,0,1
Cartoon Network,Western Cape,Male,Coloured,45-54,Saturday,Weekend,Night,1,1,320,5.33,320,320,320,1,0,0
Channel O,Gauteng,Male,Black,35-44,Saturday,Weekend,Afternoon,4,4,2235,37.25,558.75,1245,201,4,0,0
ICC Cricket World Cup 2011,Western Cape,Male,Indian_asian,18-24,Wednesday,Weekday,Prime Time,1,1,5130,85.5,5130,5130,5130,1,0,0
Africa Magic,Gauteng,Male,Black,45-54,Thursday,Weekday,Morning,1,1,684,11.4,684,684,684,1,0,0
Supersport Live Events,Western Cape,Female,Other,Under 18,Saturday,Weekend,Prime Time,1,1,2388,39.8,2388,2388,2388,1,0,0
SuperSport Blitz,Gauteng,Female,Indian_asian,18-24,Tuesday,Weekday,Afternoon,1,1,4984,83.07,4984,4984,4984,1,0,0
Africa Magic,KwaZulu-Natal,Male,Black,35-44,Wednesday,Weekday,Prime Time,3,3,624,10.4,208,373,3,2,0,1
Cartoon Network,Gauteng,Male,Black,25-34,Thursday,Weekday,Prime Time,1,1,54,0.9,54,54,54,0,1,0
Cartoon Network,Gauteng,Male,Black,18-24,Tuesday,Weekday,Prime Time,1,1,33,0.55,33,33,33,0,1,0
ICC Cricket World Cup 2011,Western Cape,Male,Indian_asian,35-44,Tuesday,Weekday,Afternoon,1,1,254,4.23,254,254,254,1,0,0
Supersport Live Events,Mpumalanga,Male,Black,Under 18,Friday,Weekday,Afternoon,1,1,40,0.67,40,40,40,0,1,0
Trace TV,Gauteng,Male,Black,25-34,Thursday,Weekday,Prime Time,4,4,660,11,165,237,63,3,1,0
SuperSport Blitz,Western Cape,Male,Coloured,45-54,Saturday,Weekend,Morning,1,1,106,1.77,106,106,106,0,1,0
SuperSport Blitz,Gauteng,Female,Unknown,25-34,Monday,Weekday,Night,1,1,12,0.2,12,12,12,0,0,1
Channel O,Western Cape,Male,Coloured,25-34,Thursday,Weekday,Morning,3,3,2304,38.4,768,1233,375,3,0,0
ICC Cricket World Cup 2011,Gauteng,Male,White,35-44,Friday,Weekday,Morning,2,2,598,9.97,299,360,238,2,0,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Indian_asian,Under 18,Monday,Weekday,Afternoon,1,1,690,11.5,690,690,690,1,0,0
Trace TV,Gauteng,Male,Indian_asian,25-34,Monday,Weekday,Night,1,1,450,7.5,450,450,450,1,0,0
E! Entertainment,Gauteng,Male,White,25-34,Sunday,Weekend,Prime Time,2,2,614,10.23,307,534,80,1,1,0
